© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
RHO GTPase cycle	7.52E00	8.44E-02	-5.191	ABI2,ACTB,ACTG1,ACTN1,ARHGAP21,ARHGAP32,ARHGAP45,ARHGAP5,ARHGDIA,ARHGEF12,BCR,CDC42BPA,CDC42BPB,DBN1,DIAPH1,DOCK5,FLOT2,GNA13,IQGAP2,ITGB1,KALRN,KIDINS220,LAMTOR1,MTR,NCK2,PDE5A,RBBP6,RHOBTB1,ROCK2,SRC,STK38,STOM,TPM4,VAV3,WDR11,WIPF1,WIPF2,YKT6	
Endocannabinoid Cancer Inhibition Pathway	7.5E00	1.36E-01	-0.728	ADCY3,ATF4,CASP2,CASP3,CCND3,CDKN1A,GNA13,GNAO1,GNAQ,GSK3B,GUCY1A1,GUCY1B1,MAPK1,PIK3CB,PRKAB2,PRKAR1B,PRKAR2B,RAF1,ROCK2,SRC	
Virus Entry via Endocytic Pathways	7.48E00	1.5E-01	-3.606	ACTB,ACTG1,AP2M1,DNM1,FYN,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,ITGA2,ITGB1,ITGB3,ITGB5,PIK3CB,PRKCA,PRKCB,SRC	
Protein Kinase A Signaling	7.46E00	8.84E-02	-2.887	ADCY3,ANAPC5,ATF4,BRAF,CALM3,CDC14B,GNA13,GNAQ,GNAS,GNB5,GSK3B,GUCY1A1,GUCY1B1,H3-3A,ITPR1,ITPR2,MAPK1,MYL9,MYLK,PDE2A,PDE4D,PDE5A,PHKB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTPN18,PTPRJ,PTPRS,PYGB,RAF1,ROCK2,TGFB1,YWHAH	
Clathrin-mediated Endocytosis Signaling	7.4E00	1.15E-01	NaN	ACTB,ACTG1,AP2M1,ARPC1B,ARRB1,CLU,CTTN,DNM1,DNM3,EGF,EPS15,F2R,FGF2,ITGB1,ITGB3,ITGB5,LDLRAP1,PDGFA,PIK3CB,PIP5K1C,RAB11B,SNX9,SRC,STON2	
Endothelin-1 Signaling	7.37E00	1.19E-01	-3.710	ADCY3,BRAF,CASP2,CASP3,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,PIK3CB,PLA2G12A,PLD3,PRDX6,PRKCA,PRKCB,PTGS1,RAF1,SRC	
Myelination Signaling Pathway	7.34E00	9.45E-02	-4.017	ARHGAP5,ATF4,BMP6,BRAF,CALM3,DAG1,FGF2,FYN,GSK3B,HDAC5,IDI1,IGF1R,ILK,IRS1,ITGA2,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,MBP,PDGFA,PIK3CB,PRKAR1B,PRKAR2B,RAF1,ROCK2,SMAD2,SRC,SREBF2,YES1	
RHO GTPases Activate WASPs and WAVEs	7.25E00	2.56E-01	-3.317	ABI2,ACTB,ACTG1,ARPC1B,FYN,MAPK1,NCKIPSD,SRC,WIPF1,WIPF2,YES1	
KEAP1-NFE2L2 pathway	7.25E00	1.32E-01	-0.447	CDKN1A,DPP3,FBXL17,GSK3B,NEK4,PI4KA,PIK3CB,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,SPHK1,STK24,STK38,STK4,STK40	
Clathrin-mediated endocytosis	6.98E00	1.4E-01	-3.300	ACTB,ACTG1,AP2M1,ARRB1,CTTN,DNM1,DNM3,EGF,EPS15,EPS15L1,LDLRAP1,NECAP2,PACSIN2,PIP5K1C,SNX9,STON2,TGOLN2,VAMP8	
GPER1 signaling	6.93E00	1.55E-01	-3.873	ADCY3,GNAS,GNAZ,GNB5,ITGB1,NEK4,PI4KA,PIK3CB,PRKAR1B,PRKAR2B,SPHK1,SRC,STK24,STK38,STK4,STK40	
Axonal Guidance Signaling	6.85E00	7.74E-02	NaN	ABLIM3,ADAM10,ADAM9,ARHGEF12,ARPC1B,BMP6,CRKL,EGF,FYN,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GSK3B,HERC2,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,KALRN,MAPK1,MYL9,NCK2,PDGFA,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,ROCK2,TUBA1C,TUBA4A,TUBA8,TUBB1,WIPF1	
EPH-Ephrin signaling	6.76E00	1.61E-01	-3.873	ACTB,ACTG1,ADAM10,AP2M1,ARPC1B,DNM1,FYN,KALRN,MYH9,MYL9,NCK2,ROCK2,SRC,VAV3,YES1	
Cardiac Hypertrophy Signaling	6.7E00	9.96E-02	-3.638	ADCY3,CALM3,EIF2B1,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GSK3B,GUCY1A1,GUCY1B1,IGF1R,IRS1,MAP3K5,MAPK1,MAPKAPK2,MEF2C,MYL9,PIK3CB,PRKAR1B,PRKAR2B,RAF1,RHOBTB1,ROCK2,TGFB1	
Extracellular matrix organization	6.7E00	1.5E-01	-4.000	APP,COL6A3,DAG1,FGF2,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,NID1,PDGFA,PTPRS,SERPINE1,SPARC,TGFB1	
Signaling by VEGF	6.7E00	1.5E-01	-4.000	ABI2,ACTB,ACTG1,FYN,ITGB3,ITPR1,ITPR2,MAPKAPK2,NCK2,PIK3CB,PRKCA,PRKCB,ROCK2,SPHK1,SRC,VAV3	
