© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
RHO GTPases activate PAKs	2.44E00	1.9E-01	-2.000	CTTN,MYH9,MYL9,MYLK	
Degradation of the extracellular matrix	2.44E00	9.88E-02	-1.414	ADAM10,CAPN1,CAPN2,CAPNS1,CASP3,CTSG,ELANE,NID1	
Chemokine Signaling	2.44E00	9.88E-02	-2.646	CALM3,GNAQ,MAPK1,PRKCA,PRKCB,RAF1,ROCK2,SRC	
Ferroptosis Signaling Pathway	2.43E00	8.03E-02	-2.111	ALOX12,ARF1,ARF3,ATF4,BRAF,CDKN1A,H2AZ1,MAPK1,PRKAB2,RAF1,SREBF2	
RAB geranylgeranylation	2.4E00	1.08E-01	-2.646	PTP4A2,RAB11B,RAB1B,RAB30,RAB37,RAB6B,RAB8A	
Deubiquitination	2.4E00	6.42E-02	-0.243	ACTB,ARRB1,MAVS,MBD6,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,SMAD2,TGFB1,USP10,USP22,USP34	
Ovarian Cancer Signaling	2.38E00	7.55E-02	-3.000	ARRB1,BRAF,EGF,GSK3B,HDAC5,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,PTGS1,RAF1,SRC	
Neuropathic Pain Signaling in Dorsal Horn Neurons	2.38E00	8.91E-02	-3.000	ITPR1,ITPR2,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SRC	
Pulmonary Healing Signaling Pathway	2.37E00	6.97E-02	-2.138	BRAF,EGF,ELANE,FYN,MAPK1,PECAM1,PRKAB2,PRKCA,PRKCB,RAF1,SRC,TGFB1,THBS1,YES1	
GPVI-mediated activation cascade	2.37E00	1.43E-01	-2.236	FYN,GP6,MPIG6B,PIK3CB,VAV3	
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	2.36E00	1.82E-01	-1.000	APP,GET1,SEC61G,STX1A	
COPI-mediated anterograde transport	2.35E00	8.82E-02	-2.333	ARF1,ARF3,DYNLL2,RAB1B,TUBA1C,TUBA4A,TUBA8,TUBB1,YKT6	
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	2.32E00	1.18E-01	-1.342	FURIN,MAPK1,PPM1A,SERPINE1,SKI,SMAD2	
UVC-Induced MAPK Signaling	2.32E00	1.18E-01	-2.449	BRAF,MAPK1,PRKCA,PRKCB,RAF1,SRC	
Agrin Interactions at Neuromuscular Junction	2.29E00	1.03E-01	-2.449	ACTB,ACTG1,CTTN,DAG1,ITGB1,MAPK1,SRC	
Signaling by NODAL	2.29E00	1.74E-01	-2.000	FURIN,MAPK1,PCSK6,SMAD2	
Nephrin family interactions	2.29E00	1.74E-01	-2.000	ACTN1,FYN,NCK2,PIK3CB	
Apelin Cardiac Fibroblast Signaling Pathway	2.29E00	1.74E-01	1.000	PRKAB2,SERPINE1,SPHK1,TGFB1	
Mitotic Prophase	2.29E00	8.65E-02	-2.333	ARPP19,LMNA,LPIN1,MAPK1,PPP2R2D,PRKCA,PRKCB,RAB1B,SEC13	
DNA Replication Pre-Initiation	2.29E00	8.65E-02	2.333	ANAPC5,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
IGF-1 Signaling	2.26E00	8.57E-02	-2.828	IGF1R,IRS1,JAK1,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,RAF1,YWHAH	
Cell Cycle: G1/S Checkpoint Regulation	2.26E00	1.01E-01	0.000	CCND3,CDKN1A,CDKN2D,GSK3B,HDAC5,MAX,TGFB1	
NGF processing	2.26E00	5E-01	NaN	FURIN,PCSK6	
D-glucuronate Degradation I	2.26E00	5E-01	NaN	AKR1A1,CRYL1	
Pancreatic Adenocarcinoma Signaling	2.25E00	8E-02	-2.646	CDKN1A,EGF,HDAC5,JAK1,MAPK1,PIK3CB,PLD3,RAF1,SMAD2,TGFB1	
Other interleukin signaling	2.22E00	1.67E-01	-1.000	CASP3,JAK1,PRTN3,STX1A	
FLT3 Signaling	2.16E00	1.28E-01	-2.236	FYN,GRAP2,PTPRJ,SH2B3,SLA2	
Aldosterone Signaling in Epithelial Cells	2.14E00	7.02E-02	-3.162	HSP90B1,HSPA5,ITPR1,ITPR2,MAPK1,PI4KA,PIK3CB,PIP5K1C,PRKCA,PRKCB,RAF1,SLC9A1	
Phototransduction Pathway	2.12E00	1.07E-01	0.000	GNB5,GUCY1A1,GUCY1B1,PRKAR1B,PRKAR2B,RGS9	
NAD Signaling Pathway	2.12E00	7.28E-02	-1.897	BMP6,EGF,ERN1,ETFA,FGF2,GSK3B,LDHA,PIK3CB,POLR2E,PRKAB2,TGFB1	
Osteoarthritis Pathway	2.11E00	6.3E-02	-1.897	ATF4,CASP2,CASP3,FGF2,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MEF2C,PRKAB2,SMAD2,SPHK1,TGFB1	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	2.11E00	6.7E-02	-1.732	BRAF,EGF,FGF2,GSK3B,JAK1,LATS2,MAPK1,PDGFA,PIK3CB,RAF1,SMAD2,TGFB1,TNFSF10	
Type II Diabetes Mellitus Signaling	2.1E00	7.24E-02	-1.414	CD36,IRS1,ITPR1,ITPR2,MAP3K5,MAPK1,PIK3CB,PKM,PRKAB2,PRKCA,PRKCB	
IL-33 Signaling Pathway	2.09E00	6.67E-02	-1.508	ATF4,CASP2,CASP3,CTSG,ELANE,H2AZ1,ICAM2,LPIN1,MAPK1,MAPKAPK2,PIK3CB,PRKAR1B,PRKAR2B	
Folate Signaling Pathway	2.08E00	1.05E-01	-2.449	CDKN1A,JAK1,MAPK1,MTHFD2L,MTR,SRC	
G alpha (q) signalling events	2.08E00	6.9E-02	-2.887	APP,F2R,F2RL3,GNAQ,GNB5,GRK5,KALRN,LPAR5,OXTR,P2RY1,RGS19,TBXA2R	
ERBB Signaling	2.08E00	8.6E-02	-2.121	EGF,GSK3B,MAPK1,NCK2,PIK3CB,PRKCA,PRKCB,RAF1	
Extra-nuclear estrogen signaling	2.06E00	9.33E-02	-2.646	EGF,GNB5,IGF1R,MAPK1,SPHK1,SRC,UHMK1	
RUNX1 regulates megakaryocyte differentiation and platelet function	2.04E00	1.03E-01	-2.449	GP1BA,ITGA2B,KMT2C,MYL9,SIN3B,THBS1	
Formation of xylulose-5-phosphate	2.04E00	4E-01	NaN	AKR1A1,CRYL1	
Pyroptosis	2.04E00	1.48E-01	0.000	CASP3,CHMP2A,CHMP6,ELANE	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	2.04E00	7.89E-02	-2.828	ATP6V0E1,BRAF,CASP3,MAP3K5,MAPK1,PLA2G12A,PRDX6,PRKCA,RAF1	
Signaling by ERBB4	2.01E00	1.02E-01	-2.449	DLG4,EGF,SPARC,SRC,TAB2,WWP1	
Semaphorin Signaling in Neurons	2.01E00	1.02E-01	NaN	ARHGEF12,FYN,ITGB1,MAPK1,RHOBTB1,ROCK2	
Pre-NOTCH Expression and Processing	2E00	9.09E-02	-2.449	AGO2,ATP2A2,ATP2A3,B4GALT1,FURIN,MAML3,MFNG	
Prolactin Signaling	2E00	8.33E-02	-2.646	FYN,IRS1,MAPK1,NMI,PIK3CB,PRKCA,PRKCB,RAF1	
Vasopressin regulates renal water homeostasis via Aquaporins	1.99E00	1.16E-01	-2.000	ADCY3,GNAS,GNB5,PRKAR1B,PRKAR2B	
RHO GTPases activate PKNs	1.98E00	1.43E-01	-2.000	MYH9,MYL9,PPP1R14A,YWHAH	
Hepatic Cholestasis	1.96E00	6.22E-02	-2.309	ABCC3,ADCY3,CALM3,GUCY1A1,GUCY1B1,IRAK2,MAP4K2,MAPK1,PRKAR1B,PRKAR2B,PRKCA,PRKCB,TGFB1,TNFSF10	
Signaling by MET	1.94E00	8.86E-02	-2.646	CRKL,EPS15,ITGA2,ITGB1,PTPRJ,SPINT2,SRC	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	1.94E00	8.86E-02	-2.449	BRAF,CASP3,MAP3K5,MAPK1,PLA2G12A,PRDX6,RAF1	
TBC/RABGAPs	1.94E00	1.14E-01	-2.236	RAB11B,RAB6B,RAB8A,RABGAP1,TBC1D17	
Assembly and cell surface presentation of NMDA receptors	1.94E00	1.14E-01	-2.236	DLG4,TUBA1C,TUBA4A,TUBA8,TUBB1	
Aggrephagy	1.94E00	1.14E-01	-2.236	DYNLL2,TUBA1C,TUBA4A,TUBA8,TUBB1	
STAT3 Pathway	1.93E00	7.19E-02	-3.000	BMP6,CDKN1A,CISH,EGF,FGF2,IGF1R,MAPK1,RAF1,SRC,TGFB1	
G alpha (12/13) signalling events	1.92E00	8.75E-02	-2.646	ARHGEF12,GNA13,GNB5,KALRN,ROCK2,TBXA2R,VAV3	
GABAergic Receptor Signaling Pathway (Enhanced)	1.91E00	7.14E-02	1.000	ABAT,ADCY3,GNAO1,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,PRKAR1B,PRKAR2B	
Fc Epsilon RI Signaling	1.9E00	7.5E-02	-2.828	FYN,GRAP2,MAPK1,PIK3CB,PLA2G12A,PRKCA,PRKCB,RAF1,VAV3	
IL-3 Signaling	1.89E00	8.64E-02	-2.646	CRKL,JAK1,MAPK1,PIK3CB,PRKCA,PRKCB,RAF1	
M-decay: degradation of maternal mRNAs by maternally stored factors	1.86E00	1.09E-01	-1.342	AGO2,CNOT6L,EIF4A3,MED12L,MED13	
Apelin Pancreas Signaling Pathway	1.86E00	1.09E-01	0.447	ERN1,PIK3CB,PRKAB2,PRKAR1B,PRKAR2B	
Synthesis of DNA	1.86E00	7.38E-02	2.333	ANAPC5,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
MicroRNA Biogenesis Signaling Pathway	1.85E00	6.42E-02	-1.732	AGO2,BMP6,EGF,EWSR1,FGF2,HSP90B1,MAPK1,PIK3CB,POLR2E,SEC13,SMAD2,TGFB1	
UFMylation Signaling Pathway	1.84E00	9.38E-02	-0.447	EIF4A3,EIF4G2,ERN1,GSK3B,H3-3A,XBP1	
Thrombopoietin Signaling	1.84E00	9.38E-02	-2.449	MAPK1,MPL,PIK3CB,PRKCA,PRKCB,RAF1	
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	1.83E00	1.76E-01	NaN	IGF1R,IRS1,PIK3CB	
Glutaryl-CoA Degradation	1.83E00	1.76E-01	NaN	ACAT2,HADH,TBXAS1	
JAK/STAT Signaling	1.83E00	8.43E-02	-1.890	CDKN1A,CISH,GNAQ,JAK1,MAPK1,PIK3CB,RAF1	
Glutamate binding, activation of AMPA receptors and synaptic plasticity	1.83E00	1.29E-01	-2.000	AP2M1,DLG4,PRKCA,PRKCB	
Chronic Myeloid Leukemia Signaling	1.82E00	5.69E-02	-1.069	ADCY3,ALOX12,CALM3,CCND3,CDKN1A,CRKL,GSK3B,HDAC5,HSP90B1,ITGB1,MAPK1,PIK3CB,PRKAB2,RAF1,TGFB1,TNFSF10	
G alpha (s) signalling events	1.82E00	6.9E-02	-3.000	ADCY3,ARRB1,GNAS,GNAZ,GNB5,GRK5,PDE2A,PDE4D,PTGIR,SRC	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	1.81E00	7.26E-02	-1.414	ADAM10,APP,CST3,CTSG,FSTL1,HSP90B1,LTBP1,NUCB1,TGOLN2	
Role of JAK2 in Hormone-like Cytokine Signaling	1.81E00	9.23E-02	-1.342	CCND3,IRS1,JAK1,LEPR,MPL,SH2B3	
Role of MAPK Signaling in the Pathogenesis of Influenza	1.81E00	8.33E-02	NaN	CASP3,MAP3K5,MAPK1,PLA2G12A,PRDX6,PRKCA,RAF1	
mTOR Signaling	1.78E00	6.07E-02	-1.000	EIF4A3,EIF4G2,IRS1,MAPK1,PIK3CB,PLD3,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,PRKCA,PRKCB,RHOBTB1	
Autism Signaling Pathway	1.77E00	5.5E-02	-1.807	ALDH9A1,BRAF,GSK3B,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IGF1R,MAPK1,PIK3CB,PPM1K,PRKAR1B,PRKAR2B,RAF1,TGFB1,TNFSF10	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.77E00	6.25E-02	-1.265	CLU,JAK1,MAP3K5,MAPK1,MPO,PIK3CB,PPM1L,PPP1R14A,PPP2R5A,PRKCA,PRKCB,RHOBTB1	
WNK Renal Signaling Pathway	1.73E00	7.48E-02	-2.236	AMFR,ANAPC5,CALM3,IRS1,LRRC8B,PIK3CB,PRKCA,PRKCB	
Post-translational protein phosphorylation	1.73E00	7.48E-02	-1.890	ADAM10,APP,CST3,FSTL1,HSP90B1,LTBP1,NUCB1,TGOLN2	
Glycosaminoglycan metabolism	1.73E00	7.03E-02	-3.000	B4GALT1,B4GALT6,DSE,HPSE,NDST1,PAPSS2,SLC35D2,SLC9A1,XYLT2	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.73E00	5.34E-02	-3.638	ATF4,CALM3,FGF2,GNAO1,GNAQ,GSK3B,IRAK2,MAPK1,MAPKAPK2,NLK,PDGFA,PIK3CB,PRKCA,PRKCB,RAF1,ROCK2,SRC,TGFB1	
Superpathway of Inositol Phosphate Compounds	1.72E00	5.81E-02	-2.887	INPP5A,ITPKB,NUDT1,PAWR,PI4KA,PIK3CB,PIP5K1C,PPM1K,PPM1L,PPP1R14A,PPP2R5A,PRUNE1,PTPRJ,SSH1	
Signaling by NOTCH3	1.72E00	1E-01	-2.236	ADAM10,EGF,MAML3,PBX1,PTCRA	
Melanoma Signaling	1.72E00	1E-01	-1.342	BRAF,CDKN1A,MAPK1,PIK3CB,RAF1	
MYC Mediated Apoptosis Signaling	1.72E00	1E-01	-2.236	CASP2,CASP3,MAX,PRKAR1B,PRKAR2B	
IL-12 Signaling and Production in Macrophages	1.71E00	5.79E-02	-0.302	ALOX12,CALM3,CD47,CLU,H3-3A,JMJD6,MAPK1,PIK3CB,PRKAB2,PRKCA,PRKCB,SELP,TGFB1,THBS1	
WNT/β-catenin Signaling	1.71E00	6.36E-02	1.667	GNAO1,GNAQ,GSK3B,ILK,NLK,PPM1L,PPP2R2D,PPP2R5A,SOX12,SRC,TGFB1	
RHO GTPases activate CIT	1.7E00	1.58E-01	NaN	DLG4,MYH9,MYL9	
RHO GTPases Activate ROCKs	1.7E00	1.58E-01	NaN	MYH9,MYL9,ROCK2	
Ribonucleotide Reductase Signaling Pathway	1.69E00	6.32E-02	-0.632	ACTB,ATF4,BRAF,CASP3,CDKN1A,H3-3A,MAPK1,PIK3CB,SRC,THBS1,WEE1	
TCF dependent signaling in response to WNT	1.67E00	6.06E-02	1.155	CCDC88C,GSK3B,PPP2R5A,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,USP34	
Sphingolipid metabolism	1.67E00	7.27E-02	NaN	B4GALT6,CERS2,CTSA,MFSD2B,ORMDL3,PPM1L,PSAP,SPHK1	
NRF2-mediated Oxidative Stress Response	1.65E00	5.56E-02	-1.667	ABCC4,ACTB,ACTG1,AKR1A1,AKR7A2,ATF4,GSK3B,HSP90B1,MAP3K5,MAPK1,PIK3CB,PPIB,PRKCA,PRKCB,RAF1	
B-WICH complex positively regulates rRNA expression	1.65E00	9.62E-02	-1.342	ACTB,DDX21,GSK3B,MYO1C,POLR2E	
IL-9 Signaling	1.65E00	1.14E-01	NaN	CISH,IRS1,JAK1,PIK3CB	
Signaling by EGFR	1.62E00	9.43E-02	-2.236	ADAM10,EGF,EPS15,EPS15L1,SRC	
IL-27 Signaling Pathway	1.62E00	6.72E-02	-1.890	CD28,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,JAK1,MAPK1,PIK3CB	
RANK Signaling in Osteoclasts	1.59E00	7.53E-02	-2.449	CALM3,MAP3K5,MAPK1,PIK3CB,RAF1,SRC,TAB2	
UVB-Induced MAPK Signaling	1.59E00	9.26E-02	-2.000	H3-3A,MAPK1,PIK3CB,PRKCA,PRKCB	
Growth Hormone Signaling	1.59E00	8.22E-02	-2.236	IGF1R,IRS1,MAPK1,PIK3CB,PRKCA,PRKCB	
Synaptic adhesion-like molecules	1.58E00	1.43E-01	NaN	DLG4,FLOT2,PTPRS	
Erythropoietin Signaling Pathway	1.58E00	6.08E-02	-2.111	GSK3B,ITPR1,ITPR2,MAPK1,PIK3CB,PRKCA,PRKCB,RAF1,SRC,TGFB1,TNFSF10	
Mitotic Prometaphase	1.57E00	5.85E-02	-2.309	CENPT,CLIP1,DYNLL2,MZT2B,PPP2R5A,PRKAR2B,SEC13,TUBA1C,TUBA4A,TUBA8,TUBB1,TUBGCP4	
ISG15 antiviral mechanism	1.56E00	8.11E-02	0.000	EIF4A3,EIF4G2,ISG15,JAK1,SEC13,UBA7	
Prostate Cancer Signaling	1.55E00	6.9E-02	0.000	ATF4,CDKN1A,GSK3B,HDAC5,HSP90B1,MAPK1,PIK3CB,RAF1	
Hereditary Breast Cancer Signaling	1.55E00	6.52E-02	-1.000	BMP6,CCND3,CDKN1A,EGF,FGF2,PIK3CB,POLR2E,TGFB1,WEE1	
Adipogenesis pathway	1.55E00	6.52E-02	-0.333	DGKD,FGF2,HDAC5,KAT6A,LPIN1,SENP2,SIN3B,TGFB1,XBP1	
HEY1 Signaling Pathway	1.54E00	6.21E-02	-0.632	BMP6,BPNT2,CDKN1A,GATA2,ITGA2B,MEF2C,PIK3CB,PRKAB2,SMAD2,TGFB1	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	1.53E00	1.36E-01	NaN	BPNT2,INPP5A,ITPKB	
NLR signaling pathways	1.53E00	8.93E-02	-2.236	APP,CASP2,IRAK2,PANX1,TAB2	
Interleukin-3, Interleukin-5 and GM-CSF signaling	1.53E00	8.93E-02	-2.236	CRKL,FYN,JAK1,PIK3CB,YES1	
Methylthiopropionate Biosynthesis	1.51E00	1E00	NaN	ADI1	
Melatonin Degradation III	1.51E00	1E00	NaN	MPO	
Necroptosis Signaling Pathway	1.5E00	6.13E-02	-1.265	CAPN1,CAPN2,CAPNS1,JAK1,MLKL,PLA2G12A,PPIF,TAB2,TNFSF10,TSPO	
Death Receptor Signaling	1.5E00	7.22E-02	-1.890	ACTB,ACTG1,CASP2,CASP3,LMNA,MAP3K5,TNFSF10	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	1.5E00	8.77E-02	-2.236	DYNLL2,TUBA1C,TUBA4A,TUBA8,TUBB1	
MAP kinase activation	1.49E00	1.03E-01	-2.000	FBXW11,IRAK2,MAPKAPK2,TAB2	
Transcriptional Regulatory Network in Embryonic Stem Cells	1.49E00	6.1E-02	-2.530	FGF2,GSK3B,IGF1R,JAK1,KAT6A,MAPK1,PIK3CB,SMAD2,TGFB1,TRIM24	
Azathioprine ADME	1.48E00	1.3E-01	NaN	ABCC4,TPMT,VAV3	
Activin Inhibin Signaling Pathway	1.47E00	5.66E-02	-1.732	CDKN1A,EGLN3,GATA2,GSK3B,MAPK1,MAX,PIK3CB,ROCK2,SERPINE1,SKI,SMAD2,TGFB1	
Role of CHK Proteins in Cell Cycle Checkpoint Control	1.47E00	8.62E-02	-1.000	CDKN1A,PPM1L,PPP2R2D,PPP2R5A,TLK1	
DHCR24 Signaling Pathway	1.46E00	6.29E-02	-1.000	APP,CASP3,CLU,GSK3B,PDGFA,PIK3CB,PRKCA,PRKCB,SREBF2	
Signaling by FGFR3	1.46E00	1E-01	-2.000	BRAF,FGF2,MAPK1,SRC	
IL-7 Signaling Pathway	1.44E00	7.59E-02	-1.633	CCND3,FYN,GSK3B,JAK1,MAPK1,PIK3CB	
ATM Signaling	1.44E00	7E-02	0.816	ATF4,CDKN1A,HERC2,PPM1L,PPP2R2D,PPP2R5A,TLK1	
3-phosphoinositide Biosynthesis	1.43E00	5.58E-02	-2.530	NUDT1,PAWR,PI4KA,PIK3CB,PIP5K1C,PPM1K,PPM1L,PPP1R14A,PPP2R5A,PRUNE1,PTPRJ,SSH1	
Interleukin-7 signaling	1.43E00	1.25E-01	NaN	CISH,IRS1,JAK1	
RHO GTPases Activate NADPH Oxidases	1.43E00	1.25E-01	NaN	MAPK1,PRKCA,PRKCB	
Regulation of RUNX1 Expression and Activity	1.43E00	1.25E-01	NaN	AGO2,CCND3,SRC	
Tryptophan Degradation III (Eukaryotic)	1.43E00	1.25E-01	NaN	ACAT2,HADH,TBXAS1	
Vitamin-C Transport	1.43E00	1.25E-01	NaN	LRRC8B,SLC2A3,STOM	
Signaling by FGFR4	1.42E00	9.76E-02	-2.000	BRAF,FGF2,MAPK1,SRC	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.42E00	5.73E-02	NaN	COL6A3,EGF,FGF2,IGF1R,LEPR,MYH9,MYL9,PDGFA,SERPINE1,SMAD2,TGFB1	
Endometrial Cancer Signaling	1.42E00	8.33E-02	-2.000	GSK3B,ILK,MAPK1,PIK3CB,RAF1	
GADD45 Signaling	1.42E00	8.33E-02	-1.342	CCND3,CDKN1A,MAPK1,SMAD2,TGFB1	
Pyroptosis Signaling Pathway	1.4E00	6.86E-02	-0.447	CASP3,GBP1,GBP5,MAPK1,PANX1,PRKAR1B,PRKAR2B	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	1.4E00	5.05E-02	-3.051	ADAM10,ADAM9,ATF4,BRAF,CALM3,COL6A3,GSK3B,ITGB3,MAP3K5,MAPK1,PIK3CB,RAF1,RHOBTB1,SRC,TAB2,VAV3	
Insulin processing	1.38E00	1.2E-01	NaN	MYO5A,SLC30A5,STX1A	
Growth hormone receptor signaling	1.38E00	1.2E-01	NaN	CISH,IRS1,MAPK1	
Kinesins	1.36E00	8.06E-02	-2.236	KIF3C,TUBA1C,TUBA4A,TUBA8,TUBB1	
Oncostatin M Signaling	1.36E00	9.3E-02	-1.000	JAK1,MAPK1,MT2A,RAF1	
Alpha-protein kinase 1 signaling pathway	1.36E00	1.82E-01	NaN	TAB2,TIFA	
NFE2L2 regulating tumorigenic genes	1.36E00	1.82E-01	NaN	EGF,PDGFA	
Prostanoid Biosynthesis	1.36E00	1.82E-01	NaN	PTGS1,TBXAS1	
Folate Transformations I	1.36E00	1.82E-01	NaN	MTHFD2L,MTR	
Signaling by ROBO receptors	1.35E00	5.28E-02	1.155	DAG1,EIF4A3,NCK2,PRKCA,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,SRC	
Transcriptional Regulation by MECP2	1.34E00	7.94E-02	-2.236	AGO2,HIPK2,HTT,MEF2C,SLC2A3	
Factors Promoting Cardiogenesis in Vertebrates	1.33E00	5.96E-02	-2.333	ATF4,BMP6,GSK3B,MEF2C,PRKCA,PRKCB,ROCK2,SMAD2,TGFB1	
Transcriptional regulation of white adipocyte differentiation	1.33E00	7.14E-02	-1.633	CCND3,CD36,MED13,NCOA2,SREBF2,TGFB1	
Netrin-1 signaling	1.33E00	9.09E-02	-2.000	ABLIM3,FYN,SRC,TRPC6	
TAK1-dependent IKK and NF-kappa-B activation	1.33E00	9.09E-02	-1.000	APP,IRAK2,TAB2,TIFA	
Collagen degradation	1.31E00	7.81E-02	-1.342	ADAM10,ADAM9,COL6A3,ELANE,FURIN	
Histone Modification Signaling Pathway	1.31E00	5E-02	-2.138	BPTF,BRD3,CAPN1,H2AZ1,H3-3A,HDAC5,JMJD6,KAT6A,KMT2C,PRDM5,PRKCB,TAF3,TRIM24,USP22,YWHAH	
LPS-stimulated MAPK Signaling	1.31E00	7.06E-02	-2.236	MAP3K5,MAPK1,PIK3CB,PRKCA,PRKCB,RAF1	
BMAL1:CLOCK,NPAS2 activates circadian gene expression	1.3E00	1.11E-01	NaN	BHLHE40,NCOA2,SERPINE1	
Cholesterol biosynthesis	1.3E00	1.11E-01	NaN	ACAT2,IDI1,SREBF2	
Signaling by Insulin receptor	1.3E00	8.89E-02	-2.000	ATP6V0E1,IRS1,MAPK1,PIK3CB	
Carboxyterminal post-translational modifications of tubulin	1.3E00	8.89E-02	-2.000	TUBA1C,TUBA4A,TUBA8,TUBB1	
VEGF Family Ligand-Receptor Interactions	1.29E00	6.98E-02	-2.449	MAPK1,PIK3CB,PLA2G12A,PRKCA,PRKCB,RAF1	
Signaling by Leptin	1.29E00	1.67E-01	NaN	IRS1,LEPR	
Signaling by LTK	1.29E00	1.67E-01	NaN	IRS1,PIK3CB	
Phase II - Conjugation of compounds	1.27E00	6.42E-02	-1.134	ABHD14B,AKR1A1,BPNT2,MTR,PAPSS2,TPMT,TPST2	
Neuroinflammation Signaling Pathway	1.27E00	4.85E-02	-2.673	APP,ATF4,BIRC6,CASP3,GSK3B,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IRAK2,JAK1,MAPK1,PIK3CB,PLA2G12A,TGFB1	
DNA damage-induced 14-3-3σ Signaling	1.27E00	8.7E-02	-2.000	CASP2,CASP3,CDKN1A,WEE1	
Xenobiotic Metabolism Signaling	1.26E00	4.83E-02	NaN	ABCC3,ALDH9A1,HDAC5,HSP90B1,MAP3K5,MAPK1,NDST1,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,PRKCA,PRKCB,RAF1,SCAND1,SMOX	
Oxidative Stress Induced Senescence	1.25E00	6.82E-02	-2.449	CDKN2D,MAP3K5,MAPK1,MAPKAPK2,MINK1,TNIK	
Amyloid fiber formation	1.25E00	6.82E-02	-1.342	ADAM10,APP,CST3,FURIN,H2AZ1,TSPAN33	
Macroautophagy	1.24E00	7.46E-02	-1.342	CHMP2A,CHMP6,DYNLL2,LAMTOR1,PRKAB2	
PXR/RXR Activation	1.24E00	7.46E-02	-1.342	ABCC3,CPT1A,PAPSS2,PRKAR1B,PRKAR2B	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	1.24E00	7.46E-02	NaN	CRKL,GSK3B,MAPK1,PIK3CB,PLAC8	
ERBB4 Signaling	1.24E00	7.46E-02	-2.236	MAPK1,PIK3CB,PRKCA,PRKCB,RAF1	
SPINK1 General Cancer Pathway	1.24E00	7.46E-02	-2.236	JAK1,MAPK1,MT2A,PIK3CB,RAF1	
Interleukin-4 and Interleukin-13 signaling	1.24E00	6.31E-02	-2.449	CD36,CDKN1A,FGF2,HSP90B1,ITGB1,JAK1,TGFB1	
Advanced glycosylation endproduct receptor signaling	1.22E00	1.54E-01	NaN	APP,MAPK1	
Mitochondrial calcium ion transport	1.22E00	1.54E-01	NaN	MICU1,SLC8A3	
Energy dependent regulation of mTOR by LKB1-AMPK	1.22E00	1.03E-01	NaN	LAMTOR1,PPM1A,PRKAB2	
EGR2 and SOX10-mediated initiation of Schwann cell myelination	1.22E00	1.03E-01	NaN	DAG1,MBP,SREBF2	
Glycolysis I	1.22E00	1.03E-01	NaN	ENO2,PFKP,PKM	
G alpha (i) signalling events	1.22E00	5.04E-02	-2.887	ADCY3,APP,CCR4,GNAS,GNAZ,GNB5,LPAR5,PSAP,RGS10,RGS19,RGS6,RGS9,SRC	
Xenobiotic Metabolism CAR Signaling Pathway	1.22E00	5.15E-02	0.302	ABCC3,ALDH9A1,HSP90B1,MAPK1,NDST1,PPM1L,PPP2R2D,PPP2R5A,PRKCA,PRKCB,SCAND1,SRC	
β-alanine Degradation I	1.21E00	5E-01	NaN	ABAT	
Sulfate Activation for Sulfonation	1.21E00	5E-01	NaN	PAPSS2	
Glycerol-3-phosphate Shuttle	1.21E00	5E-01	NaN	GPD2	
Putrescine Biosynthesis III	1.21E00	5E-01	NaN	ODC1	
