© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Mitotic Prophase	1.66E00	8.74E-02	-2.333	ARPP19,EMD,LMNA,MAPK1,PPP2R2D,PRKCA,PRKCB,RAB1B,SEC13	
Cell surface interactions at the vascular wall	1.65E00	7.11E-02	-3.357	DOK2,ESAM,F11R,FYN,GP6,ITGA6,ITGB1,ITGB3,PECAM1,PIK3CB,PTPN6,SELP,SRC,TGFB1,YES1	
Iron homeostasis signaling pathway	1.65E00	7.97E-02	NaN	ATP6AP1,ATP6V0E1,BMP6,CIAO2A,EGF,HMOX2,MAPK1,NUBP1,PDGFA,PDGFB,SMAD2	
Sphingolipid metabolism	1.65E00	9.2E-02	-2.828	ARSA,CERS2,CTSA,GLA,ORMDL3,PPM1L,PSAP,SPHK1	
IL-17A Signaling in Fibroblasts	1.65E00	9.2E-02	-2.121	COL10A1,GSK3B,IKBKE,IKBKG,MAPK1,PRKCA,PRKCB,TGFB1	
HIPPO signaling	1.65E00	9.2E-02	1.000	DLG4,PPM1L,PPP1R14A,PPP2R2D,PPP2R5A,SAV1,SMAD2,YWHAH	
Mechanisms of Viral Exit from Host Cells	1.64E00	1.22E-01	NaN	ACTB,ACTG1,CHMP6,PRKCA,PRKCB	
Growth Hormone Signaling	1.64E00	9.86E-02	-1.633	IGF1R,MAPK1,PIK3CB,PRKCA,PRKCB,PTPN6,RPS6KA1	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	1.64E00	6.49E-02	-3.300	ADAM10,ADAM9,ATF4,BRAF,CALM1 (includes others),COL10A1,COL6A3,FCGR2A,GSK3B,IKBKE,IKBKG,ITGB3,MAP3K5,MAPK1,PIK3CB,RAF1,RHOBTB1,SRC,TAB2,VAV3	
Autism Signaling Pathway	1.64E00	6.49E-02	-0.894	ALDH9A1,BRAF,GSK3B,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IGF1R,IL1RN,MAPK1,MECP2,PIK3CB,PRKAR1B,PRKAR2B,RAF1,RPS6KA1,TGFB1,TNFSF10,TNFSF13B	
Folate Signaling Pathway	1.63E00	1.07E-01	-2.449	CDKN1A,MAPK1,MTHFD2L,MTR,OAS2,SRC	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.62E00	7.22E-02	NaN	COL10A1,COL6A3,EGF,FGF2,IGF1R,LEPR,MYH9,MYL6,MYL9,PDGFA,PDGFB,SERPINE1,SMAD2,TGFB1	
CDP-diacylglycerol Biosynthesis I	1.62E00	1.43E-01	NaN	AGPAT1,CDS2,GPAT4,GPD2	
Regulation of mitotic cell cycle	1.62E00	9.09E-02	2.121	ANAPC5,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2	
Erythropoietin Signaling Pathway	1.62E00	7.39E-02	-2.496	GSK3B,ITPR1,ITPR2,MAPK1,PIK3CB,PRKCA,PRKCB,PTPN6,RAF1,SRC,TGFB1,TNFSF10,TNFSF13B	
COPII-mediated vesicle transport	1.61E00	9.72E-02	-0.378	F8,PPP6R1,RAB1B,SEC13,STX5,TRAPPC9,YKT6	
Sirtuin Signaling Pathway	1.61E00	6.53E-02	-0.258	ADAM10,APP,ATG101,ATG9A,CPT1A,E2F1,GSK3B,H3-3A/H3-3B,MAP1LC3A,MAPK1,PDK1,PPIF,SDHA,TSPO,TUBA1C,TUBA4A,TUBA8,UCP2,XPC	
Cell Cycle Checkpoints	1.6E00	6.62E-02	0.000	ANAPC5,BRCC3,CDKN1A,CENPT,CLIP1,DYNLL2,HERC2,PPP2R5A,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,SEC13,WEE1,YWHAH	
Extra-nuclear estrogen signaling	1.58E00	9.59E-02	-2.646	CALM1 (includes others),EGF,GNB5,IGF1R,MAPK1,SRC,UHMK1	
PD-1, PD-L1 cancer immunotherapy pathway	1.57E00	8.41E-02	2.828	CD28,GSK3B,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,PIK3CB,TGFB1	
Assembly and cell surface presentation of NMDA receptors	1.56E00	1.16E-01	-2.236	DLG4,TUBA1C,TUBA4A,TUBA8,TUBB1	
Aggrephagy	1.56E00	1.16E-01	-2.236	DYNLL2,TUBA1C,TUBA4A,TUBA8,TUBB1	
RUNX1 regulates megakaryocyte differentiation and platelet function	1.56E00	1.03E-01	-2.236	GP1BA,ITGA2B,KMT2C,MYL9,SIN3B,THBS1	
Role of CHK Proteins in Cell Cycle Checkpoint Control	1.56E00	1.03E-01	-0.447	CDKN1A,E2F1,PPM1L,PPP2R2D,PPP2R5A,TLK1	
NRF2-mediated Oxidative Stress Response	1.55E00	6.75E-02	-1.667	ABCC4,ACTB,ACTG1,AKR1A1,AKR7A2,ATF4,CCT7,GSK3B,MAP3K5,MAPK1,MGST1,PIK3CB,PRKCA,PRKCB,RAF1,UBE2E3	
Pancreatic Adenocarcinoma Signaling	1.53E00	7.94E-02	-2.449	CDKN1A,E2F1,EGF,HDAC5,MAPK1,PIK3CB,PLD3,RAF1,SMAD2,TGFB1	
Signaling by ERBB4	1.53E00	1.02E-01	-1.342	DLG4,EGF,SPARC,SRC,TAB2,WWP1	
TAK1-dependent IKK and NF-kappa-B activation	1.52E00	1.14E-01	-1.342	APP,IKBKG,IRAK2,TAB2,TIFA	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	1.52E00	1.33E-01	NaN	AGPAT1,CDS2,GPAT4,GPD2	
Human Embryonic Stem Cell Pluripotency	1.51E00	6.97E-02	-3.207	BMP6,BRAF,FGF2,GSK3B,MAPK1,PDGFA,PDGFB,PIK3CB,PRKCA,PRKCB,RAF1,SMAD2,SPHK1,TGFB1	
Plasma lipoprotein assembly, remodeling, and clearance	1.5E00	9.21E-02	-2.646	AP2B1,AP2M1,FURIN,LDLRAP1,LIPA,PCSK6,PLTP	
Leptin Signaling in Obesity	1.5E00	9.21E-02	NaN	GUCY1A1,GUCY1B1,LEPR,MAPK1,PIK3CB,PRKAR1B,PRKAR2B	
ERBB Signaling	1.49E00	8.6E-02	-2.121	EGF,GSK3B,MAPK1,NCK2,PIK3CB,PRKCA,PRKCB,RAF1	
Coronavirus Replication Pathway	1.49E00	1.11E-01	-2.236	GSK3B,TUBA1C,TUBA4A,TUBA8,TUBB1	
Unfolded Protein Response (UPR)	1.48E00	1.67E-01	NaN	ATF4,ERN1,XBP1	
Gastrin-CREB signalling pathway via PKC and MAPK	1.48E00	1.67E-01	NaN	MAPK1,PRKCA,RPS6KA1	
MyD88 dependent cascade initiated on endosome	1.47E00	1.29E-01	-1.000	IKBKG,IRAK2,IRF7,TAB2	
Pyroptosis Signaling Pathway	1.47E00	8.51E-02	1.414	GBP1,GBP4,GBP5,MAPK1,PANX1,PRKAR1B,PRKAR2B,PYCARD	
Collagen degradation	1.47E00	9.84E-02	-1.633	ADAM10,ADAM9,COL10A1,COL6A3,ELANE,FURIN	
Role of RIG1-like Receptors in Antiviral Innate Immunity	1.45E00	1.09E-01	0.447	IFIH1,IKBKE,IKBKG,IRF7,MAVS	
Apelin Pancreas Signaling Pathway	1.45E00	1.09E-01	0.447	ERN1,PIK3CB,PRKAB2,PRKAR1B,PRKAR2B	
Costimulation by the CD28 family	1.45E00	8.97E-02	-1.890	CD28,FYN,GRAP2,PPP2R5A,PTPN6,SRC,YES1	
Endocannabinoid Neuronal Synapse Pathway	1.44E00	7.38E-02	-0.816	GNAO1,GNAQ,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,MGLL,PRKAR1B,PRKAR2B	
Ferroptosis Signaling Pathway	1.43E00	7.63E-02	-1.897	ALOX12,ARF1,ARF3,ATF4,BRAF,CDKN1A,MAPK1,PRKAB2,RAF1,SREBF2	
Toll Like Receptor 3 (TLR3) Cascade	1.43E00	1.25E-01	0.000	IKBKE,IKBKG,IRF7,TAB2	
Signaling by MET	1.42E00	8.86E-02	-2.646	CRKL,EPS15,ITGB1,LAMB2,PTPRJ,SPINT2,SRC	
IL-3 Signaling	1.42E00	8.86E-02	-2.646	CRKL,MAPK1,PIK3CB,PRKCA,PRKCB,PTPN6,RAF1	
RHO GTPases Activate ROCKs	1.42E00	1.58E-01	NaN	MYH9,MYL6,MYL9	
iNOS Signaling	1.42E00	1.06E-01	-1.000	CALM1 (includes others),IKBKE,IKBKG,IRAK2,MAPK1	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	1.41E00	7.89E-02	-2.828	ATP6AP1,ATP6V0E1,BRAF,MAP3K5,MAPK1,PLA2G12A,PRDX6,PRKCA,RAF1	
Thrombopoietin Signaling	1.41E00	9.52E-02	-2.449	MAPK1,MPL,PIK3CB,PRKCA,PRKCB,RAF1	
Methylthiopropionate Biosynthesis	1.4E00	1E00	NaN	ADI1	
Melatonin Degradation III	1.4E00	1E00	NaN	MPO	
MAPK targets/ Nuclear events mediated by MAP kinases	1.39E00	1.21E-01	-1.000	MAPK1,MAPKAPK2,MEF2C,RPS6KA1	
Ribonucleotide Reductase Signaling Pathway	1.38E00	7.02E-02	-1.155	ACTB,ATF4,BRAF,CDKN1A,E2F1,H3-3A/H3-3B,MAPK1,PARP10,PIK3CB,SRC,THBS1,WEE1	
DNA Damage Bypass	1.38E00	1.04E-01	0.447	ISG15,MAD2L2,POLD3,UBA7,USP10	
IL-13 Signaling Pathway	1.37E00	7.76E-02	-2.333	CD36,FYN,HCK,MAPK1,PDGFA,PIK3CB,SRC,TGFB1,YES1	
Chemokine Signaling	1.37E00	8.64E-02	-2.646	CALM1 (includes others),GNAQ,MAPK1,PRKCA,PRKCB,RAF1,SRC	
Aldosterone Signaling in Epithelial Cells	1.37E00	6.98E-02	-2.714	HSPA2,ITPR1,ITPR2,MAPK1,PI4KA,PIK3CB,PIP4K2C,PIP5K1C,PRKCA,PRKCB,RAF1,SLC9A1	
4-1BB Signaling in T Lymphocytes	1.35E00	1.18E-01	-1.000	IKBKE,IKBKG,MAP3K5,MAPK1	
WNT/β-catenin Signaling	1.34E00	6.9E-02	1.265	APPL2,GNAO1,GNAQ,GSK3B,ILK,NLK,PPM1L,PPP2R2D,PPP2R5A,SOX12,SRC,TGFB1	
Fc Epsilon RI Signaling	1.33E00	7.63E-02	-2.828	FYN,GRAP2,MAPK1,PIK3CB,PLA2G12A,PRKCA,PRKCB,RAF1,VAV3	
Degradation of the extracellular matrix	1.32E00	9.09E-02	-0.816	ADAM10,CAPN1,CAPNS1,CTSG,ELANE,NID1	
Folate Transformations I	1.32E00	2.22E-01	NaN	MTHFD2L,MTR	
DHCR24 Signaling Pathway	1.32E00	7.3E-02	-1.897	APP,CLU,GSK3B,PDGFA,PDGFB,PIK3CB,PLTP,PRKCA,PRKCB,SREBF2	
Signaling by EGFR	1.32E00	1E-01	-2.236	ADAM10,EGF,EPS15,EPS15L1,SRC	
Synthesis of DNA	1.31E00	7.56E-02	2.333	ANAPC5,POLD3,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2	
Coagulation System	1.31E00	1.14E-01	0.000	F2R,F8,SERPINE1,VWF	
White Adipose Tissue Browning Pathway	1.3E00	7.25E-02	-2.828	ATF4,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,PRKAB2,PRKAR1B,PRKAR2B	
CD40 Signaling	1.3E00	8.96E-02	-0.447	IKBKE,IKBKG,MAPK1,MAPKAPK2,PIK3CB,PTGS1	
TNFR1 Signaling	1.29E00	9.8E-02	-1.342	CASP2,IKBKE,IKBKG,MADD,MAP4K2	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.29E00	9.8E-02	-2.000	CDKN1A,HIPK2,RPS6KA1,WEE1,YWHAH	
CGAS-STING Signaling Pathway	1.27E00	7.14E-02	-0.632	ATP6AP1,ATP6V0E1,CDKN1A,IKBKE,IKBKG,MAP1LC3A,PYCARD,TGFB1,TNFSF10,TNFSF13B	
Insulin Receptor Signaling	1.27E00	7.14E-02	-0.632	CRKL,EIF2B1,FYN,GSK3B,MAPK1,PIK3CB,PPP1R14A,PRKAR1B,PRKAR2B,RAF1	
Cellular hexose transport	1.26E00	1.36E-01	NaN	SLC2A3,SLC45A3,SLC50A1	
RHO GTPases Activate NADPH Oxidases	1.26E00	1.36E-01	NaN	MAPK1,PRKCA,PRKCB	
UVB-Induced MAPK Signaling	1.26E00	9.62E-02	-2.000	H3-3A/H3-3B,MAPK1,PIK3CB,PRKCA,PRKCB	
Oxidative Stress Induced Senescence	1.25E00	8.14E-02	-2.646	CDKN2D,E2F1,MAP3K5,MAPK1,MAPKAPK2,MINK1,TNIK	
DNA Replication Pre-Initiation	1.25E00	7.69E-02	2.121	ANAPC5,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2	
Sensory processing of sound by inner hair cells of the cochlea	1.25E00	8.7E-02	-1.633	ACTB,ACTG1,ESPN,MYH9,MYO1C,STX1A	
Neurotransmitter clearance	1.24E00	2E-01	NaN	COMT,SLC6A4	
ATF6 (ATF6-alpha) activates chaperone genes	1.24E00	2E-01	NaN	ATF4,XBP1	
Prostanoid Biosynthesis	1.24E00	2E-01	NaN	PTGS1,TBXAS1	
HEY1 Signaling Pathway	1.24E00	6.83E-02	-0.905	BMP6,BPNT2,CDKN1A,E2F1,GATA2,ITGA2B,MEF2C,PIK3CB,PRKAB2,SMAD2,TGFB1	
Hereditary Breast Cancer Signaling	1.24E00	7.04E-02	NaN	ACTB,CCND3,CDKN1A,DDB2,E2F1,HDAC5,PIK3CB,POLR2E,WEE1,XPC	
Noradrenaline and Adrenaline Degradation	1.23E00	1.08E-01	-1.000	AKR1A1,ALDH9A1,COMT,SMOX	
GM-CSF Signaling	1.22E00	8.57E-02	-1.633	CISH,HCK,MAPK1,PIK3CB,PRKCB,RAF1	
TCA Cycle II (Eukaryotic)	1.21E00	1.3E-01	NaN	DLST,MDH1,SDHA	
Cell Cycle Regulation by BTG Family Proteins	1.2E00	1.05E-01	NaN	E2F1,PPM1L,PPP2R2D,PPP2R5A	
RAB GEFs exchange GTP for GDP on RABs	1.19E00	7.87E-02	-1.890	DENND1A,DENND6B,GDI1,MADD,RAB1B,RAB6B,TRAPPC9	
Mitochondrial Fatty Acid Beta-Oxidation	1.16E00	1.25E-01	NaN	ECI1,HADH,MMUT	
Regulation of RUNX1 Expression and Activity	1.16E00	1.25E-01	NaN	AGO2,CCND3,SRC	
Glycogen metabolism	1.16E00	1.25E-01	NaN	CALM1 (includes others),PHKB,PYGB	
RAS processing	1.16E00	1.25E-01	NaN	ABHD17A,CALM1 (includes others),LYPLA1	
Growth hormone receptor signaling	1.16E00	1.25E-01	NaN	CISH,MAPK1,PTPN6	
SUMOylation of immune response proteins	1.16E00	1.82E-01	NaN	IKBKE,IKBKG	
Alpha-protein kinase 1 signaling pathway	1.16E00	1.82E-01	NaN	TAB2,TIFA	
IL-27 Signaling Pathway	1.15E00	7.03E-02	-2.333	CD28,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,MAPK1,PIK3CB,PYCARD	
MicroRNA Biogenesis Signaling Pathway	1.15E00	6.42E-02	-2.309	AGO2,BMP6,EGF,EWSR1,FGF2,MAPK1,PDGFB,PIK3CB,POLR2E,SEC13,SMAD2,TGFB1	
CSDE1 Signaling Pathway	1.14E00	8.93E-02	-1.342	AGO2,CCND3,CTTN,EDC4,TGFB1	
Signaling by FGFR3	1.13E00	1E-01	-2.000	BRAF,FGF2,MAPK1,SRC	
trans-Golgi Network Vesicle Budding	1.13E00	8.11E-02	-1.633	APP,ARF1,ARRB1,SNX9,SORT1,VAMP8	
Insulin processing	1.12E00	1.2E-01	NaN	MYO5A,SLC30A5,STX1A	
MyD88 cascade initiated on plasma membrane	1.12E00	1.2E-01	NaN	IKBKG,IRAK2,TAB2	
Sleep REM Signaling Pathway	1.12E00	7.21E-02	-1.414	ATF4,MAPK1,PRKAR1B,PRKAR2B,RPS6KA1,TGFB1,TNFSF10,TNFSF13B	
Neurexins and neuroligins	1.12E00	8.77E-02	-2.236	APBA2,DBNL,DLG4,HOMER2,STX1A	
TNF signaling	1.12E00	8.77E-02	-1.342	IKBKE,IKBKG,MADD,MAPKAPK2,TAB2	
Carnitine synthesis	1.11E00	5E-01	NaN	ALDH9A1	
β-alanine Degradation I	1.11E00	5E-01	NaN	ABAT	
L-DOPA Degradation	1.11E00	5E-01	NaN	COMT	
Sulfate Activation for Sulfonation	1.11E00	5E-01	NaN	PAPSS2	
Glycerol-3-phosphate Shuttle	1.11E00	5E-01	NaN	GPD2	
Putrescine Biosynthesis III	1.11E00	5E-01	NaN	ODC1	
Macrophage Alternative Activation Signaling Pathway	1.11E00	6.32E-02	-1.155	ATF4,CD36,H3-3A/H3-3B,IL1RN,LAMTOR1,MAPK1,MRC1,PIK3CB,RPS6KA1,TGFB1,THBS1,TSC22D3	
Gamma carboxylation, hypusine formation and arylsulfatase activation	1.1E00	9.76E-02	-2.000	ARSA,F8,FURIN,TPST2	
Signaling by FGFR4	1.1E00	9.76E-02	-2.000	BRAF,FGF2,MAPK1,SRC	
Wound Healing Signaling Pathway	1.1E00	5.95E-02	-1.807	COL10A1,COL6A3,EGF,FGF2,IL1RN,ITGA6,ITGB1,MAPK1,PDGFA,PDGFB,PRKCA,RAF1,TGFB1,TNFSF10,TNFSF13B	
Cancer Drug Resistance by Drug Efflux	1.09E00	8.62E-02	-2.236	BRAF,MAPK1,PDK1,PIK3CB,RAF1	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	1.08E00	1.15E-01	NaN	PTPN6,RAF1,STAT2	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	1.08E00	1.15E-01	NaN	PI4KA,PIP4K2C,PIP5K1C	
Neuroinflammation Signaling Pathway	1.07E00	5.68E-02	-1.500	APP,ATF4,BIRC6,GSK3B,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IKBKE,IKBKG,IRAK2,IRF7,MAPK1,PIK3CB,PLA2G12A,PYCARD,TGFB1	
Prolactin Signaling	1.07E00	7.37E-02	-2.449	FYN,MAPK1,NMI,PIK3CB,PRKCA,PRKCB,RAF1	
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	1.07E00	9.52E-02	-2.000	CD36,IKBKG,IRAK2,TAB2	
Prostate Cancer Signaling	1.07E00	7.02E-02	NaN	ATF4,CDKN1A,E2F1,GSK3B,HDAC5,MAPK1,PIK3CB,RAF1	
mTOR Signaling	1.06E00	6.07E-02	-0.333	EIF4A3,EIF4G2,MAPK1,PIK3CB,PLD3,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,PRKCA,PRKCB,RHOBTB1,RPS6KA1	
Xenobiotic Metabolism CAR Signaling Pathway	1.05E00	6.19E-02	-0.302	ABCC3,ALDH9A1,HS2ST1,MAPK1,MGST1,NDST1,PPM1L,PPP2R2D,PPP2R5A,PRKCA,PRKCB,SRC	
Small Cell Lung Cancer Signaling	1.05E00	7.29E-02	NaN	CCND3,E2F1,HDAC5,IKBKE,IKBKG,MAX,PIK3CB	
TGF-β Signaling	1.05E00	7.29E-02	-1.890	IRF7,MAPK1,RAF1,SERPINE1,SKI,SMAD2,TGFB1	
G alpha (q) signalling events	1.05E00	6.32E-02	-2.714	APP,F2R,F2RL3,GNAQ,GNB5,GRK5,KALRN,OXTR,P2RY1,RGS19,TBXA2R	
Endometrial Cancer Signaling	1.04E00	8.33E-02	-2.000	GSK3B,ILK,MAPK1,PIK3CB,RAF1	
GADD45 Signaling	1.04E00	8.33E-02	-1.342	CCND3,CDKN1A,MAPK1,SMAD2,TGFB1	
Osteoarthritis Pathway	1.04E00	5.93E-02	-1.667	ATF4,CASP2,COL10A1,FGF2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MEF2C,PRKAB2,SMAD2,SPHK1,TGFB1	
Neurotrophin/TRK Signaling	1.04E00	7.69E-02	-1.633	ATF4,MAP3K5,MAPK1,PIK3CB,RAF1,RPS6KA1	
Xenobiotic Metabolism PXR Signaling Pathway	1.04E00	6.15E-02	-1.732	ABCC3,ALDH9A1,HS2ST1,MGST1,NDST1,PPM1A,PPP1R14A,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SMOX	
Pyroptosis	1.04E00	1.11E-01	NaN	CHMP6,CHMP7,ELANE	
Tryptophan Degradation X (Mammalian, via Tryptamine)	1.04E00	1.11E-01	NaN	AKR1A1,ALDH9A1,SMOX	
Glycolysis I	1.04E00	1.11E-01	NaN	ENO2,PFKP,PKM	
Signaling by Insulin receptor	1.04E00	9.3E-02	-2.000	ATP6AP1,ATP6V0E1,MAPK1,PIK3CB	
Vasopressin regulates renal water homeostasis via Aquaporins	1.04E00	9.3E-02	-2.000	GNAS,GNB5,PRKAR1B,PRKAR2B	
B Cell Activating Factor Signaling	1.04E00	9.3E-02	0.000	IKBKE,IKBKG,MAPK1,TNFSF13B	
Bladder Cancer Signaling	1.04E00	6.9E-02	NaN	CDKN1A,E2F1,EGF,FGF2,HDAC5,MAPK1,RAF1,THBS1	
Dissolution of Fibrin Clot	1.03E00	1.54E-01	NaN	SERPINB6,SERPINE1	
Advanced glycosylation endproduct receptor signaling	1.03E00	1.54E-01	NaN	APP,MAPK1	
Mitochondrial calcium ion transport	1.03E00	1.54E-01	NaN	MICU1,SLC8A3	
Azathioprine ADME	1.03E00	1.54E-01	NaN	ABCC4,TPMT	
RAR Activation	1.03E00	5.36E-02	-3.962	ACTB,ADAM10,ATF4,CDKN1A,COL10A1,EGF,F11R,GNAQ,GUCY1A1,GUCY1B1,MAPK1,PDE2A,PIK3CB,PRKAR1B,PRKAR2B,RAB11FIP3,RHOBTB1,SRC,TGFB1,TNFSF10,TNFSF13B,TRIM24,ZBTB16	
Renal Cell Carcinoma Signaling	1.02E00	7.59E-02	NaN	EGLN3,MAPK1,PDGFB,PIK3CB,RAF1,TGFB1	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	1.02E00	7.59E-02	-2.236	BRAF,MAP3K5,MAPK1,PLA2G12A,PRDX6,RAF1	
Assembly of collagen fibrils and other multimeric structures	1.02E00	8.2E-02	-2.236	CD151,COL10A1,COL6A3,ITGA6,LOXL3	
Kinesins	1.02E00	8.2E-02	-2.236	KIF3C,TUBA1C,TUBA4A,TUBA8,TUBB1	
Semaphorin Signaling in Neurons	1.02E00	8.2E-02	NaN	ARHGEF12,FYN,ITGB1,MAPK1,RHOBTB1	
p53 Signaling	1.02E00	7.14E-02	-0.816	CCNG1,CDKN1A,E2F1,GSK3B,HIPK2,PIK3CB,THBS1	
Signaling by Retinoic Acid	1.01E00	9.09E-02	-2.000	CPT1A,PDK1,PDK2,PDK3	
Signaling by ALK	1E00	1.07E-01	NaN	PIK3CB,PTPN6,SRC	
Glutathione Redox Reactions I	1E00	1.07E-01	NaN	GPX1,MGST1,PRDX6	
G alpha (12/13) signalling events	1E00	7.5E-02	-2.449	ARHGEF12,GNA13,GNB5,KALRN,TBXA2R,VAV3	
Glucose metabolism	1E00	7.5E-02	0.000	GNPDA1,MDH1,PFKP,PKM,SEC13,SLC37A1	
Role of JAK2 in Hormone-like Cytokine Signaling	9.98E-01	8.06E-02	-1.342	CCND3,LEPR,MPL,PTPN6,SH2B3	
Carboxyterminal post-translational modifications of tubulin	9.85E-01	8.89E-02	-2.000	TUBA1C,TUBA4A,TUBA8,TUBB1	
GABAergic Receptor Signaling Pathway (Enhanced)	9.83E-01	6.47E-02	1.000	ABAT,GNAO1,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,PRKAR1B,PRKAR2B	
p75 NTR receptor-mediated signalling	9.81E-01	7E-02	-1.890	ARHGDIA,ARHGEF12,CASP2,GNA13,KALRN,MAGED1,VAV3	
ATM Signaling	9.81E-01	7E-02	0.816	ATF4,CDKN1A,HERC2,PPM1L,PPP2R2D,PPP2R5A,TLK1	
Carnitine metabolism	9.78E-01	1.43E-01	NaN	CPT1A,PRKAB2	
LGI-ADAM interactions	9.78E-01	1.43E-01	NaN	DLG4,STX1A	
Acyl-CoA Hydrolysis	9.78E-01	1.43E-01	NaN	ACOT7,PPT1	
NGF Signaling	9.72E-01	6.67E-02	-1.414	ATF4,IKBKE,IKBKG,MAP3K5,MAPK1,PIK3CB,RAF1,RPS6KA1	
Energy dependent regulation of mTOR by LKB1-AMPK	9.7E-01	1.03E-01	NaN	LAMTOR1,PPM1A,PRKAB2	
EGR2 and SOX10-mediated initiation of Schwann cell myelination	9.7E-01	1.03E-01	NaN	DAG1,MBP,SREBF2	
FLT3 Signaling in Hematopoietic Progenitor Cells	9.64E-01	7.32E-02	-0.816	ATF4,MAPK1,PIK3CB,RAF1,RPS6KA1,STAT2	
BEX2 Signaling Pathway	9.64E-01	7.32E-02	2.236	CDKN1A,GSK3B,MAP2,PPM1L,PPP2R2D,PPP2R5A	
DNA damage-induced 14-3-3σ Signaling	9.59E-01	8.7E-02	-2.000	CASP2,CDKN1A,E2F1,WEE1	
Mitotic Prometaphase	9.47E-01	5.91E-02	-2.887	CENPT,CEP41,CLIP1,DYNLL2,PPP2R5A,PRKAR2B,SEC13,TUBA1C,TUBA4A,TUBA8,TUBB1,TUBGCP4	
Lactose synthesis	9.4E-01	3.33E-01	NaN	B4GALT1	
MTF1 activates gene expression	9.4E-01	3.33E-01	NaN	CSRP1	
NFE2L2 regulating TCA cycle genes	9.4E-01	3.33E-01	NaN	IDH1	
L-carnitine Biosynthesis	9.4E-01	3.33E-01	NaN	ALDH9A1	
Serine Biosynthesis	9.4E-01	3.33E-01	NaN	UBAC2	
L-cysteine Degradation III	9.4E-01	3.33E-01	NaN	MPST	
4-aminobutyrate Degradation I	9.4E-01	3.33E-01	NaN	ABAT	
N-acetylglucosamine Degradation I	9.4E-01	3.33E-01	NaN	GNPDA1	
Activation of kainate receptors upon glutamate binding	9.36E-01	1E-01	NaN	CALM1 (includes others),DLG4,GNB5	
Mitophagy	9.36E-01	1E-01	NaN	MAP1LC3A,MFN2,SRC	
Regulation of TP53 Activity through Acetylation	9.36E-01	1E-01	NaN	CHD3,GATAD2A,PIP4K2C	
Cilium Assembly	9.35E-01	5.88E-02	-3.317	CCT7,CEP41,DYNLL2,KIF3C,MARK4,PRKAR2B,RAB11FIP3,SEPTIN2,TUBA1C,TUBA4A,TUBA8,TUBB1	
Role of IL-17F in Allergic Inflammatory Airway Diseases	9.33E-01	8.51E-02	-1.000	ATF4,MAPK1,RAF1,RPS6KA1	
Ephrin A Signaling	9.33E-01	8.51E-02	NaN	ADAM10,FYN,PIK3CB,VAV3	
RAB geranylgeranylation	9.33E-01	7.69E-02	-2.236	RAB11B,RAB1B,RAB30,RAB37,RAB6B	
PXR/RXR Activation	9.33E-01	7.69E-02	-1.342	ABCC3,CPT1A,PAPSS2,PRKAR1B,PRKAR2B	
Signaling by Activin	9.27E-01	1.33E-01	NaN	MAPK1,SMAD2	
Regulation of cholesterol biosynthesis by SREBP (SREBF)	9.27E-01	1.33E-01	NaN	INSIG1,SREBF2	
Metabolism of nitric oxide: NOS3 activation and regulation	9.27E-01	1.33E-01	NaN	CALM1 (includes others),LYPLA1	
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	9.27E-01	1.33E-01	NaN	PTGS1,TBXAS1	
Role of MAPK Signaling in the Pathogenesis of Influenza	9.27E-01	7.14E-02	NaN	MAP3K5,MAPK1,PLA2G12A,PRDX6,PRKCA,RAF1	
VEGF Family Ligand-Receptor Interactions	9.27E-01	7.14E-02	-2.449	MAPK1,PIK3CB,PLA2G12A,PRKCA,PRKCB,RAF1	
Acute Phase Response Signaling	9.15E-01	5.95E-02	-1.000	F8,HMOX2,IKBKE,IKBKG,IL1RN,MAP3K5,MAPK1,PIK3CB,RAF1,SERPINE1,VWF	
